millis,stamp,datetime,soilmoisture
15190000, 1565961060, 2019/8/16 13:11:0, 633
15220999, 1565961060, 2019/8/16 13:11:0, 634
15251998, 1565961060, 2019/8/16 13:11:0, 633
15283000, 1565961060, 2019/8/16 13:11:0, 634
15313999, 1565961060, 2019/8/16 13:11:0, 633
15344999, 1565961060, 2019/8/16 13:11:0, 634
15375998, 1565961060, 2019/8/16 13:11:0, 634
15407000, 1565961060, 2019/8/16 13:11:0, 633
15437999, 1565961060, 2019/8/16 13:11:0, 633
15468998, 1565961060, 2019/8/16 13:11:0, 633
15500000, 1565961060, 2019/8/16 13:11:0, 633
15530998, 1565961060, 2019/8/16 13:11:0, 633
15561999, 1565961060, 2019/8/16 13:11:0, 633
15592999, 1565961060, 2019/8/16 13:11:0, 633
15624000, 1565961060, 2019/8/16 13:11:0, 634
15654999, 1565961060, 2019/8/16 13:11:0, 634
15685999, 1565961060, 2019/8/16 13:11:0, 633
15716999, 1565961060, 2019/8/16 13:11:0, 633
15747998, 1565961060, 2019/8/16 13:11:0, 634
15778999, 1565961060, 2019/8/16 13:11:0, 634
15809998, 1565961060, 2019/8/16 13:11:0, 633
15841000, 1565961060, 2019/8/16 13:11:0, 633
15872000, 1565961060, 2019/8/16 13:11:0, 634
15902999, 1565961060, 2019/8/16 13:11:0, 633
15933999, 1565961060, 2019/8/16 13:11:0, 633
15964999, 1565961060, 2019/8/16 13:11:0, 633
